,unique,num,freq,global
234,METALLURGY \& METALLURGICAL   ENGINEERING,41,4,metallurgy
261,OPERATIONS RESEARCH \& MANAGEMENT SCIENCE,41,130,operations research
46,"COMPUTER   SCIENCE, SOFTWARE ENGINEERING",40,4,computer science
52,"COMPUTER SCIENCE,   SOFTWARE ENGINEERING",40,25,computer science
63,"COMPUTER SCIENCE, SOFTWARE   ENGINEERING",40,158,computer science
156,"HOSPITALITY, LEISURE, SPORT   \& TOURISM",40,1,hospitality
157,"HOSPITALITY, LEISURE, SPORT \&   TOURISM",40,7,hospitality
168,INFORMATION   SCIENCE \& LIBRARY SCIENCE,40,9,information science
169,INFORMATION SCIENCE   \& LIBRARY SCIENCE,40,1,information science
170,INFORMATION SCIENCE \&   LIBRARY SCIENCE,40,72,information science
171,INFORMATION SCIENCE \& LIBRARY   SCIENCE,40,213,information science
277,"PHYSICS,   ATOMIC, MOLECULAR \& CHEMICAL",40,1,physics
284,"PHYSICS, ATOMIC,   MOLECULAR \& CHEMICAL",40,1,physics
44,"COMPUTER   SCIENCE, INFORMATION SYSTEMS",39,2,computer science
50,"COMPUTER SCIENCE,   INFORMATION SYSTEMS",39,77,computer science
59,"COMPUTER SCIENCE, INFORMATION   SYSTEMS",39,156,computer science
94,"ENGINEERING,   ELECTRICAL \& ELECTRONIC",39,88,engineering
105,"ENGINEERING, ELECTRICAL   \& ELECTRONIC",39,5,engineering
106,"ENGINEERING, ELECTRICAL \&   ELECTRONIC",39,439,engineering
188,"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN",39,1,literature
214,MATHEMATICAL \&   COMPUTATIONAL BIOLOGY,39,3,mathematics
215,MATHEMATICAL \& COMPUTATIONAL   BIOLOGY,39,5,mathematics
235,METALLURGY \& METALLURGICAL ENGINEERING,39,22,metallurgy
340,"SOCIAL   SCIENCES, MATHEMATICAL METHODS",39,4,social sciences
346,"SOCIAL SCIENCES, MATHEMATICAL   METHODS",39,1,social sciences
18,AUDIOLOGY \& SPEECH-LANGUAGE PATHOLOGY,38,4,audiology
64,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",38,173,computer science
158,"HOSPITALITY, LEISURE, SPORT \& TOURISM",38,39,hospitality
172,INFORMATION SCIENCE \& LIBRARY SCIENCE,38,651,information science
195,"MATERIALS   SCIENCE, COATINGS \& FILMS",38,2,materials science
197,"MATERIALS   SCIENCE, MULTIDISCIPLINARY",38,24,materials science
201,"MATERIALS SCIENCE,   MULTIDISCIPLINARY",38,39,materials science
207,"MATERIALS SCIENCE, COATINGS   \& FILMS",38,1,materials science
208,"MATERIALS SCIENCE, COATINGS \&   FILMS",38,4,materials science
285,"PHYSICS, ATOMIC, MOLECULAR \& CHEMICAL",38,1,physics
363,TRANSPORTATION   SCIENCE \& TECHNOLOGY,38,2,transportation
364,TRANSPORTATION SCIENCE   \& TECHNOLOGY,38,1,transportation
365,TRANSPORTATION SCIENCE \&   TECHNOLOGY,38,4,transportation
26,BIOTECHNOLOGY \& APPLIED MICROBIOLOGY,37,41,biotechnology
47,"COMPUTER   SCIENCE, THEORY \& METHODS",37,20,computer science
53,"COMPUTER SCIENCE,   THEORY \& METHODS",37,85,computer science
60,"COMPUTER SCIENCE, INFORMATION SYSTEMS",37,1120,computer science
65,"COMPUTER SCIENCE, THEORY   \& METHODS",37,1,computer science
66,"COMPUTER SCIENCE, THEORY \&   METHODS",37,320,computer science
68,CONSTRUCTION \&   BUILDING TECHNOLOGY,37,3,construction
69,CONSTRUCTION \& BUILDING   TECHNOLOGY,37,1,construction
107,"ENGINEERING, ELECTRICAL \& ELECTRONIC",37,1582,engineering
216,MATHEMATICAL \& COMPUTATIONAL BIOLOGY,37,21,mathematics
176,INTEGRATIVE \& COMPLEMENTARY MEDICINE,37,3,medicine
236,METEOROLOGY   \& ATMOSPHERIC SCIENCES,37,1,meteorology
237,METEOROLOGY \&   ATMOSPHERIC SCIENCES,37,6,meteorology
347,"SOCIAL SCIENCES, MATHEMATICAL METHODS",37,13,social sciences
